TEXT_2_WARPOD_SQUADRON,#2 Warpod-Staffel
TEXT_TOOLTIP_CLOUDCAR,Der erste hochfliegende atmosphärische Kampfgleiter, der in der jüngsten Geschichte als "Wolkenauto" eingestuft wurde. Entwickelt, um Luftverteidigung und Sicherheitspatrouillen für Bergbau- und Handelsstätten bereitzustellen. Stärker gepanzert als die meisten Kampfluftspeeder und gleichzeitig eine beeindruckende Geschwindigkeit.
TEXT_TOOLTIP_CLOUDCAR_COMPANY,Kompanie: 3x - Storm Cloud Car
TEXT_TOOLTIP_CLOUDCAR_HEALTH,Gesundheit: 150 (Speeder)
TEXT_TOOLTIP_CLOUDCAR_MOVE,Geschwindigkeit: 6.0 | Wendigkeit: 4.0
TEXT_TOOLTIP_CLOUDCAR_WEAP1,1x schweres AI-Blaster-Geschütz: 6 / 1,0s / 400m
TEXT_TOOLTIP_COMMAND_FIRESPRAY,Firespray-31 Patrol Craft
TEXT_TOOLTIP_COMMAND_HOUNDSTOOTH,Modifizierter YV-666-Leichtfrachter, Hound's Tooth
TEXT_TOOLTIP_COMMAND_PUNISHINGONE,JumpMaster 5000, Punishing One
TEXT_TOOLTIP_COMMAND_PURSUER,Pursuer Enforcement Ship
TEXT_TOOLTIP_COMMAND_REDOUBT,Venator-Klasse Sternenzerstörer, Redoubt
TEXT_TOOLTIP_COMMAND_TANTIVE_IV,Modifizierte Corellianische Korvette, Tantive IV
TEXT_TOOLTIP_CORELLIAN_CORVETTE,Die CR90 Korvette, allgemein als Corellianische Korvette oder Blockadebrecher bezeichnet, auch als Alderaanischer Kreuzer bekannt, war ein kleines, vielseitiges Kampfschiff, das von der Corellian Engineering Corporation hergestellt wurde. Es war bei vielen Regierungen und Organisationen aufgrund des vielseitigen und modularen Designs beliebt, das den einfachen Austausch von verschiedenen Waffensystemen ermöglichte.
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HERO_PD,Punktverteidigung: 1 / 0,35s / 1,6 km
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HERO_WEAP1,2x schwere Quad-Rapid-Laserkanonen: 6 / 5,0s / 4,0 km
TEXT_TOOLTIP_CORELLIAN_CORVETTE_HULL,Rumpf: 500 (Korvette)
TEXT_TOOLTIP_CORELLIAN_CORVETTE_MOVE,Geschwindigkeit: 5,0 | Beschleunigung: 0,06 | Drehung: 0,65
TEXT_TOOLTIP_CORELLIAN_CORVETTE_PD,Punktverteidigung: 1 / 0,38s / 1,6 km
TEXT_TOOLTIP_CORELLIAN_CORVETTE_SHIELD,Schilde: 500 / [11,25/R] (Korvette)
TEXT_TOOLTIP_CORELLIAN_CORVETTE_WEAP1,2x schwere Dual-Rapid-Laserkanonen: 6 / 5,0s / 4,0 km
TEXT_TOOLTIP_CORELLIAN_CORVETTE_WEAP2,4x mittlere Rapid-Laserkanonen: 6 / 5,0s / 3,5 km
TEXT_TOOLTIP_CORELLIAN_GUNBOAT,Die DP20-Fregatte oder Corellianisches Kanonenboot war eine der wenigen speziellen Kriegsschiff-Designs, die von der Corellian Engineering Corporation für die republikanische Flotte produziert wurden und war das häufigste Mitglied der Corellian-Kanonenboot-Produktlinie. Obwohl klein und kompakt, war es schnell und trug eine schwere Feuerkraft für ein Schiff seiner Größe und Klasse, wobei der Passagierraum, der in anderen CEC-Designs üblich war, für zusätzliche Kampfsysteme genutzt wurde.
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_HULL,Rumpf: 550 (Korvette)
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_MOVE,Geschwindigkeit: 4,75 | Beschleunigung: 0,05 | Drehung: 0,65
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_SHIELD,Schilde: 500 / [10/R] (Korvette)
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP1,3x leichte Dual-Turbolaser: 2 / 5,0s / 5,0 km
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP2,2x leichte Quad-Laserkanonen: 2 / 5,0s / 3,5 km
TEXT_TOOLTIP_CORELLIAN_GUNBOAT_WEAP3,2x Leichte Panzerabwehrraketen: 1 / 3.33s / 4.0km
TEXT_TOOLTIP_CUSTOMS_CORVETTE,Entworfen, um die Nischenmärkte von Corellia während der letzten Jahrzehnte der Republik zu bedienen und berühmt für den Einsatz im Imperialen Zollamt, ist dieses Schiff dafür vorgesehen, mit Handelsschiffen und Transportern zu docken, um routinemäßige Systempatrouillen und Überwachungen von Handelsschiffen durchzuführen. Es ist nicht so stabil wie manche reinen militärischen Abwehrschiffe, aber schnell genug und gut bewaffnet, um die Rolle in der Flottenkampf auszufüllen.
TEXT_TOOLTIP_CUSTOMS_CORVETTE_HULL,Rumpf: 600 (Korvette)
TEXT_TOOLTIP_CUSTOMS_CORVETTE_MOVE,Geschwindigkeit: 5,25 | Beschleunigung: 0,06 | Drehung: 0,65
TEXT_TOOLTIP_CUSTOMS_CORVETTE_PD,Punktverteidigung: 1 / 0,32s / 1,75km
TEXT_TOOLTIP_CUSTOMS_CORVETTE_SHIELD,Schilde: 450 / [9/R] (Korvette)
TEXT_TOOLTIP_CUSTOMS_CORVETTE_WEAP1,6x Schwere Dual-Schnellfeuerlaserkanonen: 6 / 5,0s / 4,0km
TEXT_TOOLTIP_DEN_WESSEX,Denn Wessex zeichnete sich in der Schlacht von Boz Pity aus und wurde einer der ersten Moffs. Er heiratete Lira Blissex, eine angesehene Ingenieurin, die ihr Imperator-Projekt dank Denns Einfluss vorantrieb. Wessex wurde später zum Großmoff des Relgim-Übersektors unter dem Imperium.
TEXT_TOOLTIP_DENGAR,Ein übler Kopfgeldjäger, der jeden verraten würde, wenn der Preis stimmt. Dengar fliegt die Punishing One, einen modifizierten Jumpmaster 5000, der mit einem Quad-Laser, einem Ionenkanonen und einem Torpedo-Launcher bewaffnet ist. Es hat keine Gefängniszellen, da Dengar es bevorzugt, seine Ziele tot zu sammeln.
TEXT_TOOLTIP_DENGAR_CW_HEALTH,Gesundheit: 130 (Held)
TEXT_TOOLTIP_DENGAR_CW_WEAP1,1x DLT-18 wiederholendes Blastergewehr: 5 / 1,0 s / 280m
TEXT_TOOLTIP_DENGAR_HEALTH,Gesundheit: 200 (Held)
TEXT_TOOLTIP_DENGAR_MOVE,Geschwindigkeit: 1,0
TEXT_TOOLTIP_DENGAR_WEAP1,1x Valken-38 Blastergewehr: 1 / 3,0 s / 320m
TEXT_TOOLTIP_DESTROYER_DROID,Eine "Kampf" -Version des Droideka, diese Iteration ist mit zusätzlichen Waffen ausgestattet, einschließlich Ionenkanonen für den Einsatz gegen geschützte Fahrzeuge. Spät im Klonkrieg entworfen, wurde es nicht in ausreichender Anzahl gebaut, um Auswirkungen auf den Konflikt zu haben, würde jedoch später unter kriminellen Gruppen wieder verstärkt eingesetzt werden.
TEXT_TOOLTIP_DESTROYER_DROID_COMPANY,Kompanie: 8x - Droideka Mk II
TEXT_TOOLTIP_DESTROYER_DROID_HEALTH,Gesundheit: 35 (Droide)
TEXT_TOOLTIP_DESTROYER_DROID_MOVE,Geschwindigkeit: 2,25 | Wendigkeit: 15,5
TEXT_TOOLTIP_DESTROYER_DROID_SHIELD,Schilde: 60 / [10/R] (Infanterie)
TEXT_TOOLTIP_DESTROYER_DROID_WEAP1,3x AI-Blasterkanonen: 10 / 1,5s / 200m
TEXT_TOOLTIP_DESTROYER_DROID_WEAP2,1x Ionenkanone: 1 / 1,0s / 200m
TEXT_TOOLTIP_DESTROYER_DROIDMK1,Ein geschützter Kampfdroide, der von der Handelsföderation und der Konföderation unabhängiger Systeme verwendet wurde, bevor er unter anderen Gruppen verteilt wurde. Von Jedi gefürchtet, sind Droidekas äußerst widerstandsfähig, schnell und mit zwei Blasterkanonen bewaffnet.
TEXT_TOOLTIP_DESTROYER_DROIDMK1_COMPANY,Kompanie: 16x - Droideka
TEXT_TOOLTIP_DESTROYER_DROIDMK1_HEALTH,Gesundheit: 25 (Droide)
TEXT_TOOLTIP_DESTROYER_DROIDMK1_MOVE,Geschwindigkeit: 2,0 | Wendung: 15,5
TEXT_TOOLTIP_DESTROYER_DROIDMK1_SHIELD,Schilde: 60 / [10/R] (Infanterie)
TEXT_TOOLTIP_DESTROYER_DROIDMK1_WEAP1,1x AI-Blasterkanone: 10 / 1,5 s / 200m
TEXT_TOOLTIP_DREADNAUGHT,Ein crewintensiverr, aber robuster Kreuzer, der viele Jahrzehnte vor den Klonkriegen entworfen wurde. Das Design hat unzählige Varianten hervorgebracht und wurde von jeder galaktischen Regierung bis heute in irgendeiner Kapazität eingesetzt und bleibt ein geeignetes, wenn auch veraltetes Kriegsschiff.
TEXT_TOOLTIP_DREADNAUGHT_CARRIER,Eine Dreadnaught-Variante, die stark für Anti-Piraterie-Einsätze umgerüstet wurde und respektable Hangars aufweist, während sie immer noch eine Bewaffnung nahe den Lagerbeständen aufrechterhält.
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_HULL,Rumpf: 2120 (Schwere Fregatte)
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_SHIELD, Schilde: 2000 / [20/R] (Fregatte)
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_SQUADRON,Jäger: 1 / 1 | Bomber: 1 / 2
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_WEAP2,2x Schwerer Vierlingslaserkanonen: 2 / 1.67s / 4.6km
TEXT_TOOLTIP_DREADNAUGHT_CARRIER_WEAP3,1x Schweres Laserkanone: 2 / 1.67s / 4.6km
TEXT_TOOLTIP_DREADNAUGHT_EMPIRE_WEAP4,Erschütterungsrakete: 1 / 5.0s / 4.1km
TEXT_TOOLTIP_DREADNAUGHT_LASERS,Ein crewintensiverr, aber robuster Kreuzer, der viele Jahrzehnte vor den Klonkriegen entworfen wurde. Dies ist eine ältere Variante, die besser für Wachdienst geeignet ist als für den Kampf mit modernen Kriegsschiffen.
TEXT_TOOLTIP_DREADNAUGHT_LASERS_HULL,Rumpf: 2200 (Schwere Fregatte)
TEXT_TOOLTIP_DREADNAUGHT_LASERS_MOVE,Geschwindigkeit: 2,75 | Beschleunigung: 0,035 | Wendigkeit: 0,375
TEXT_TOOLTIP_DREADNAUGHT_LASERS_SHIELD,Schilde: 2000 / [20/R] (Fregatte)
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP1,2x Mittlere Turbolaser: 2 / 2,0s / 6,1 km
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP2,2x Schweres Laserkanonen: 2 / 1,0s / 4,6 km
TEXT_TOOLTIP_DREADNAUGHT_LASERS_WEAP3,2x Leichte Vierlingslaserkanonen: 2 / 0,5s / 3,6 km
TEXT_TOOLTIP_DREADNAUGHT_MOVE,Geschwindigkeit: 2,75 | Beschleunigung: 0,035 | Wendigkeit: 0,375
TEXT_TOOLTIP_DWARF_SPIDER_DROID,Der Dwarf Spider Droid stieg von der Bestrafung von Steuerhinterziehern für die Handelsföderation zum primären Feuerunterstützungs-Plattform für die Konföderation unabhängiger Systeme auf, als die Klonkriege begannen. Der Droide erwies sich als äußerst fähig darin, Klontruppen und ihre Fahrzeuge aufzuspüren. Das Imperium würde später ebenfalls den DSD übernehmen, um ehemalige Separatisten-Welten zu überwachen und den Mangel an Arbeitskräften des Imperiums nach Jahrzehnten des Krieges auszugleichen.
TEXT_TOOLTIP_DWARF_SPIDER_DROID_COMPANY,Kompanie: 16x - Dwarf Spider Droid
TEXT_TOOLTIP_DWARF_SPIDER_DROID_HEALTH,Gesundheit: 45 (Droide)
TEXT_TOOLTIP_DWARF_SPIDER_DROID_MOVE,Geschwindigkeit: 0.9
TEXT_TOOLTIP_DWARF_SPIDER_DROID_SQUAD,Trupp: 4x - Dwarf Spider Droid
TEXT_TOOLTIP_DWARF_SPIDER_DROID_WEAP1,1x AP-Blaster-Kanone: 1 / 2,0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY,Hochqualifizierte und gut ausgestattete Söldner mit hoher Kampffähigkeit. Einzelne Personen und Organisationen, die für Bargeld oder Vorlieben kämpfen und eine gewisse gemeinsame Ausrüstung haben. Sie sind mit einer großen Anzahl von schweren persönlichen Waffen ausgestattet und äußerst gefährlich gegen Infanterie und leichte Ziele, aber etwas weniger gut ausgestattet, um große Fahrzeuge zu bekämpfen.
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY,Kompanie: 24x - Elite-Mercenary
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP1,12x Schwere Wiederholungsblaster: 5 / 1,0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP2,6x Slugthrower-Scharfschützengewehr: 5 / 1,0s / 320m
TEXT_TOOLTIP_ELITE_MERCENARY_COMPANY_WEAP3,6x Leichter AP-Raketenwerfer: 1 / 9,0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY_HEALTH,Gesundheit: 24 (Infanterie)
TEXT_TOOLTIP_ELITE_MERCENARY_LEADER_HEALTH,Gesundheit: 27 (Infanterie)
TEXT_TOOLTIP_ELITE_MERCENARY_MOVE,Geschwindigkeit: 1,0
TEXT_TOOLTIP_ELITE_MERCENARY_SHIELD,Schilde: 12 / [2/R] (Infanterie)
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD,Trupp: 6x - Elite-Mercenary
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD1_WEAP1,4x Schwere Wiederholungsblaster: 5 / 1,0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD1_WEAP2,2x Leichter AP-Raketenwerfer: 1 / 9,0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY_SQUAD2_WEAP1,6x Slugthrower Scharfschützengewehr: 5 / 1.0s / 320m
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP1,1x DLT-18 Wiederholungsblaster: 5 / 1.0s / 280m
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP2,1x Abenteurer Slugthrower Gewehr: 5 / 1.0s / 320m
TEXT_TOOLTIP_ELITE_MERCENARY_WEAP3,1x RPS-6 Raketenwerfer: 1 / 9.0s / 280m
TEXT_TOOLTIP_ESCORT_IFTX_LOCAL,TRANSLATE:2x - Local Military Squad
TEXT_TOOLTIP_ESCORT_IFTX_REP,TRANSLATE:3x - Navy Trooper Squad
TEXT_TOOLTIP_ESCORT_OOM_DROID_COMMANDER,TRANSLATE:6x - B1 Battle Droid Squad
TEXT_TOOLTIP_ESCORT_PERSUADER_COMMANDER_CIS,TRANSLATE:2x - B2 Battle Droid Squad
TEXT_TOOLTIP_ESCORT_PERSUADER_COMMANDER_CSA,TRANSLATE:4x - B1 Battle Droid Squad
TEXT_TOOLTIP_ESCORT_TACTICAL_DROID_COMMANDER,TRANSLATE:2x - BX Commando Droid Squad
TEXT_TOOLTIP_ESPO_WALKER,Ein nützliches Patrouillen- und Verteidigungsfahrzeug für verschiedene Geländearten, gibt der Espo Läufer einem einzelnen Offizier die Feuerkraft einer ganzen Einheit. Obwohl teuer und wartungsintensiv, ist das Modell 101 Läufer ein immer häufiger anzutreffender Anblick in Gebieten des CSA.
TEXT_TOOLTIP_ESPO_WALKER_COMPANY,Kompanie: 6x - Espo Läufer 101
TEXT_TOOLTIP_ESPO_WALKER_EARLY,Ein nützliches Patrouillen- und Verteidigungsfahrzeug für verschiedene Geländearten, gibt der M-91 Militärwalker einem einzelnen Offizier die Feuerkraft einer ganzen Einheit. Am bekanntesten für seine Riot-Control-Umrüstungen im Corporate Sector, ist der Espo Läufer. Dies ist ein früheres Modell als die häufigere -101-Serie.
TEXT_TOOLTIP_ESPO_WALKER_EARLY_COMPANY,Kompanie: 6x - M-91 Militärwalker
TEXT_TOOLTIP_ESPO_WALKER_EARLY_HEALTH,Gesundheit: 100 (Leichtes Fahrzeug)
TEXT_TOOLTIP_ESPO_WALKER_EARLY_MOVE,Geschwindigkeit: 1.5 | Wendigkeit: 6.0
TEXT_TOOLTIP_ESPO_WALKER_EARLY_WEAP1,1x Leichter AI-Blaster: 2 / 0,5s / 320m
TEXT_TOOLTIP_ESPO_WALKER_EARLY_WEAP2,1x Erschütterungsgrenade: 1 / 6,0s / 160m
TEXT_TOOLTIP_ESPO_WALKER_EARLY_WEAP3,1x Leichter AI-Blaster: 1 / 0,5s / 320m
TEXT_TOOLTIP_ESPO_WALKER_EARLY_WEAP4,1x Ionenkanone: 1 / 2,0s / 320m
TEXT_TOOLTIP_ESPO_WALKER_HEALTH,Gesundheit: 120 (Leichtes Fahrzeug)
TEXT_TOOLTIP_ESPO_WALKER_MOVE,Geschwindigkeit: 1,5 | Drehung: 6,0
TEXT_TOOLTIP_ESPO_WALKER_WEAP1,1x AI-Blaster (AOE): 6 / 1,0s / 320m
TEXT_TOOLTIP_ESPO_WALKER_WEAP2,1x Erschütterungsgrenade: 1 / 3,0s / 160m
TEXT_TOOLTIP_ESPO_WALKER_WEAP3,1x AI-Blaster (AOE): 3 / 1,0s / 320m
TEXT_TOOLTIP_ESPO_WALKER_WEAP4,1x Ionenkanone: 1 / 2,0s / 320m
TEXT_TOOLTIP_FENN_SHYSA,Shysa war ein eifriger junger Krieger, als die Klonkriege ausbrachen und wurde leicht von dem Schurken-ARC-Trooper Spar rekrutiert. Er wurde ein wesentlicher Teil der Beschützer, ein listiger Krieger und ein besserer Propagandist, konnte jedoch nicht verhindern, dass sie auf Norval II ausgelöscht wurden. Angesichts der imperialen Besatzung wurde Shysa widerwillig Mand'alor und widersetzte sich dem Imperium im Geheimen und arbeitete schließlich mit der Rebellenallianz zusammen. Das letzte, was er erreichte, war, Boba Fett davon zu überzeugen, die Mandalorianer zu führen, bevor der Kopfgeldjäger ihn aus Barmherzigkeit tötete.
TEXT_TOOLTIP_FENN_SHYSA_MOVE,Geschwindigkeit: 1,1
TEXT_TOOLTIP_FENN_SHYSA_WEAP1,1x EE-3 Karabiner: 3 / 1,25s / 220m
TEXT_TOOLTIP_FENN_SHYSA_WEAP2,1x Jetpack Protonenrakete (AA): 1 / 10,0s / 260m
TEXT_TOOLTIP_FENN_SHYSA_WEAP3,1x Handgelenksblaster: 1 / 1,5s / 240m
TEXT_TOOLTIP_FENN_SHYSA_WEAP4,1x Handgelenksrakete: 1 / 10,0s / 220m
TEXT_TOOLTIP_FIRESPRAY,Der Firespray-31-Patrouillen- und Angriffsraumer wurde von Kuat Systems Engineering für die Republik Correctional Authority entworfen, jedoch wurde die erste Charge von Prototypen bis auf einen von Jango Fett gestohlenen zerstört. Dies zwang KSE, das Projekt für mehrere Jahre auf Eis zu legen, obwohl sie später zum Projekt zurückkehren würden, als das Unternehmen in einer besseren finanziellen Position war. Sie waren schwer bewaffnet und gepanzert und hatten eine ordentliche Geschwindigkeit für einen Jäger ihrer Größe. Ein sehr auffälliges und neues Merkmal des Designs war seine Notwendigkeit, horizontal mit den Triebwerken gegen den Boden zu landen und sich dann nach dem Start in der Ausrichtung zu drehen, um tatsächlich zu fliegen.
TEXT_TOOLTIP_FIRESPRAY_HULL,Rumpf: 260 (Schwerer Jäger)
TEXT_TOOLTIP_FIRESPRAY_MOVE,Geschwindigkeit: 3,75 | Beschleunigung: 1,4 | Wendigkeit: 3,6
TEXT_TOOLTIP_FIRESPRAY_SHIELD,Schilde: 120 / [12/R] (Schwerer Jäger)
TEXT_TOOLTIP_FIRESPRAY_WEAP1,2x Schwerer Laserkanonen des Jägers: 2 / 2,0 s / 2,0 km
TEXT_TOOLTIP_FIRESPRAY_WEAP2,1x Jäger-Erschütterungsrakete: 1 / 30,0 s / 1,8 km
TEXT_TOOLTIP_FLASHBLIND,Flügelförmiger Luftgleiter, abgeleitet von einer früheren Serie von SoroSuub-Spähmodellen während der Klonkriege, mit verschiedenen regionalen Verwendungen durch verschiedene Gruppen danach. Angriffsgeladene Versionen enthalten eine Vielzahl von Waffen zum Bekämpfen aller Arten von Zielen, aber der Hauptvorteil des Designs ist Geschwindigkeit und die Rüstung, die aufgrund seiner Größe aufgebracht werden kann.
TEXT_TOOLTIP_FLASHBLIND_COMPANY,Unternehmen: 2x - Flashblind-Luftgleiter
TEXT_TOOLTIP_FLASHBLIND_HEALTH,Gesundheit: 250 (Schwerer Luftgleiter)
TEXT_TOOLTIP_FLASHBLIND_MOVE,Geschwindigkeit: 5,0 | Wendigkeit: 4,0
TEXT_TOOLTIP_FLASHBLIND_WEAP1,1x AP-Blasterkanone: 2 / 1,0 s / 400 m
TEXT_TOOLTIP_FLASHBLIND_WEAP2,2x Leichte AI-Blasterkanonen: 4 / 0,5 s / 400 m
TEXT_TOOLTIP_GABA18,Leicht bewaffneter Aufklärungs-Luftgleiter, der aus einem zivilen und polizeilichen Modell umgebaut wurde und in den frühen Klonkriegen bei den republikanischen Streitkräftenn beliebt war. Ungewöhnlicherweise ist er für einen kleinen Luftgleiter mit Schutzschilden ausgestattet, die ihm erlauben, eine kleine Menge an Feuer unversehrt aufzunehmen. Nützlich für Aufklärungs- und Infanterie-Engagements sowie für andere leichte Ziele.
TEXT_TOOLTIP_GABA18_COMPANY,Unternehmen: 4x - Gaba-18-Luftgleiter
TEXT_TOOLTIP_GABA18_HEALTH,Gesundheit: 70 (Speeder)
TEXT_TOOLTIP_GABA18_MOVE,Geschwindigkeit: 4.0 | Wendigkeit: 4.5
TEXT_TOOLTIP_GABA18_SHIELD,Schilde: 30 / [2/R] (Speeder)
TEXT_TOOLTIP_GABA18_WEAP1,1x Leichter AI-Blaster: 4 / 1.0s / 400m
TEXT_TOOLTIP_GALLEON,Vor-Clone-Wars-Frachtfregatte, produziert von Kuat Drive Yards für den Einsatz durch Firmen und die Republik. Während die zivile Version normalerweise unbewaffnet ist, sind militärische Modelle mit einer geringen Anzahl von schweren Waffen ausgestattet, um Angriffe von Piraten abzuwehren. Diente als Inspiration für die spätere Sternen-Galeonen-Fregatte und fungiert als Unterstützungsschiff in Flottenaktionen.
TEXT_TOOLTIP_GALLEON_HULL,Rumpf: 1100 (Fregatte)
TEXT_TOOLTIP_GALLEON_MINE,Abfangminen: 1 / 2
TEXT_TOOLTIP_GALLEON_MOVE,Geschwindigkeit: 2.0 | Beschleunigung: 0.02 | Wendigkeit: 0.25
TEXT_TOOLTIP_GALLEON_PD,Punktverteidigung: 1 / 2.08s / 1.75km
TEXT_TOOLTIP_GALLEON_SHIELD,Schilde: 1000 / [17.5/R] (Fregatte)
TEXT_TOOLTIP_GALLEON_SQUADRON,Jäger: 0.5 / 0.5
TEXT_TOOLTIP_GALLEON_WEAP1,1x Schwerer Turbolaser: 2 / 5.0s / 7.1km
TEXT_TOOLTIP_GALLEON_WEAP2,1x Schwerer Schnellfeuerlaser: 6 / 5.0s / 4.1km
TEXT_TOOLTIP_GLADIATOR,Ein kleiner Kreuzer in der Familie der Sternenzerstörer, der ursprünglich für den Eskortdienst der Sieges-Klasse konzipiert wurde. Das Design wurde jedoch erst nach den Klonkriegen für den allgemeinen Gebrauch und die Produktion eingesetzt und auf Systempatrouillen und Durchsetzungsmaßnahmen beschränkt. Es hat ein unspezialisiertes Design und kann sich gegen die meisten Bedrohungen verteidigen, wenn es in ausreichender Anzahl vorhanden ist.
TEXT_TOOLTIP_GLADIATOR_HULL,Rumpf: 1935 (Fregatte)
TEXT_TOOLTIP_GLADIATOR_MOVE,Geschwindigkeit: 2,75 | Beschleunigung: 0,025 | Drehung: 0,35
TEXT_TOOLTIP_GLADIATOR_SHIELD,Schilde: 1800 / [27/R] (Fregatte)
TEXT_TOOLTIP_GLADIATOR_SQUADRON,Jäger: 1 / 1
TEXT_TOOLTIP_GLADIATOR_WEAP1,4x Leichte Dual-Turbo­laser: 2 / 3.33s / 5.1km
TEXT_TOOLTIP_GLADIATOR_WEAP2,2x Mittlere Laserkanonen: 2 / 1,0s / 4,1km
TEXT_TOOLTIP_GLADIATOR_WEAP3,2x Protonentorpedos: 5 / 12,5s / 5,1km
TEXT_TOOLTIP_GOLAN_ONE,Die Golan Space Defense Gun ist die erste in einer Reihe von Verteidigungsplattformen im Weltraum, die von Regierungen im ganzen Universum verwendet werden. Die Golan I ist stark bewaffnet und sehr gefährlich und wird in der Regel eingesetzt, um kleine Außenposten und Schiffswerften zu schützen.
TEXT_TOOLTIP_GOLAN_ONE_HULL,Rumpf: 4620 (Großkampfschiff)
TEXT_TOOLTIP_GOLAN_ONE_SHIELD,Schilde: 4600 / [34,5/R] (Großkampfschiff)
TEXT_TOOLTIP_GOLAN_ONE_SQUADRON,Jäger: 1 / 1 | Korvetten: 1 / 1
TEXT_TOOLTIP_GOLAN_ONE_UPGRADE,Upgrade XQ-5 zu Golan One. Durch dieses Upgrade ändert sich die verfügbare Flotte von Schiffen. Beim Upgrade werden alle zerstörten Waffenplätze wiederhergestellt, müssen aber repariert werden.
TEXT_TOOLTIP_GOLAN_ONE_WEAP1,8x Mittlere Dual-Turbo­laser: 2 / 2.86s / 7.2km
TEXT_TOOLTIP_GOLAN_ONE_WEAP2,2x Protonentorpedos: 2 / 7,5s / 6,2km
TEXT_TOOLTIP_GOLAN_TWO,Zweite in einer Serie von schweren Raumverteidigungsplattformen, die im ganzen Universum eingesetzt werden, ist die Golan II noch mächtiger als ihr Vorgänger. Ausgestattet mit einer unglaublichen Auswahl an Waffen und wichtigen Upgrades an ihrer Überstruktur verteidigt die Golan II Welten, die für Regierungen im ganzen Universum von entscheidender Bedeutung sind.
TEXT_TOOLTIP_GOLAN_TWO_HULL,Rumpf: 11560 (Capital)
TEXT_TOOLTIP_GOLAN_TWO_SHIELD,Schilde: 11000 / [55/R] (Capital)
TEXT_TOOLTIP_GOLAN_TWO_SQUADRON,Jäger: 1 / 1 | Bomber: 1 / 1 | Korvetten: 1 / 1
TEXT_TOOLTIP_GOLAN_TWO_UPGRADE,Upgrade Golan One zu einer Golan Two. Dieses Upgrade ändert das verfügbare Schiffsraster. Das Upgrade stellt alle zerstörten Hardpoints wieder her, aber sie müssen repariert werden.
TEXT_TOOLTIP_GOLAN_TWO_WEAP1,12x Mittlere Doppelturbolaser: 2 / 3.43s / 7.4km
TEXT_TOOLTIP_GOLAN_TWO_WEAP2,4x Protonentorpedos: 2 / 7,5s / 6,4km
TEXT_TOOLTIP_GOZANTI_CRUISER,Ein extrem robustes, aber langsames bewaffnetes Transportmittel, das von den CEC vor den Klonkriegen hergestellt wurde. Er wurde häufig von Gruppen, die von den CIS bis zu Piraten reichten, als Kanonenboot oder Konvoi-Eskorte eingesetzt. Während der Herrschaft des Imperiums sank seine Beliebtheit, doch als die Galaxis ins Chaos stürzte, lebte er wieder auf. Er eignet sich für die Bekämpfung von Jägern und Korvetten, ist aber gegen größere Schiffe nur schwer zu gebrauchen, es sei denn, er wird in Massen eingesetzt.
TEXT_TOOLTIP_GOZANTI_CRUISER_HULL,Hull: 200 (Kanonenboot)
TEXT_TOOLTIP_GOZANTI_CRUISER_MOVE,Geschwindigkeit: 3.0 | Accel: 0.06 | Drehung: 2.0
TEXT_TOOLTIP_GOZANTI_CRUISER_SHIELD,Schilde: 200 / [4.5/R] (Kanonenboot)
TEXT_TOOLTIP_GOZANTI_CRUISER_SQUADRON,Geschwader: 3x - Gozanti-Kreuzer
TEXT_TOOLTIP_GOZANTI_CRUISER_WEAP1,2x Schwere Jäger-Laserkanonen: 4 / 2,0s / 2,0km
TEXT_TOOLTIP_GOZANTI_CRUISER_WEAP2,2x Jäger-Laserkanone: 4 / 1s / 2.0km
TEXT_TOOLTIP_GOZANTI_CRUISER_WEAP3,1x Leichter Protonentorpedo: 1 / 30.0s / 3.0km
