BOARDING_KATANA,Boarding hat begonnen...
TEXT_GOVERNMENT_LEGITIMACY_GROUP_ARDA,[Arda-1-Gruppe freigeschaltet] - Narell Balrekk: Vorrel mag ein General sein, aber ihm fehlt das nötige Talent, um unsere Truppen in diese neue Ära zu führen. Sie brauchen jemanden wie mich, der ein Problem aufzeigt. Jemanden, der das Vibromesser genau richtig wackeln kann, wenn es nötig ist, und sich seinen Weg zur Wurzel der Ursache bahnen kann. Ich werde Ihr Werkzeug sein, seien Sie aber vorsichtig mit dem Rest Ihrer Spielzeuge.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_COMMENOR,[Commenor Sektor-Gruppe freigeschaltet] - Arndall Lott: Es scheint, als hätten Gendarr und ich das Maximum dessen erreicht, was wir alleine erreichen können. Sie haben Einfallsreichtum gezeigt und wir stimmen zu, dass es für uns von Vorteil wäre, sich Ihnen anzuschließen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_DANGOR,[ Dangors Gruppe freigeschaltet ] – Ars Dangor: Dunkle Grüße, verehrter Herrscher. Die geringfügige Unannehmlichkeit durch Rebellion und Dissens von Verräter-Elementen ist eine Bedrohung, die bald ausgelöscht werden sollte. Da ich es jedoch satt habe, Admiräle und Generäle zu schicken, die immer wieder versagen, habe ich meine Position genutzt, um einige Kräfte zu erwerben, die für jemanden wie Sie von Nutzen sein können. Ein Flaggschiff, das aus der Ästhetik unserer Elitekultur geboren wurde, ist bereit zum Angriff.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_DELURIN,[ Delurins Gruppe freigeschaltet ] – Moff Delurin: Ich sehe, dass ich vielleicht etwas voreilig war, als ich mich zum Kriegsherrn des Wilden Raums erklärte. Sie sind ein würdiger Nachfolger des Kaisers, ich stelle mich und mein glorreiches Flaggschiff, Galaxy Dragon, hiermit unter Ihr Kommando.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_DOLIS_3,[ Dolis 3 Gruppe freigeschaltet ] - Chik Apla: Als alles den Bach runterging, habe ich mich in den Schlamm gleiten lassen und mich nicht sonderlich darum gekümmert, was mit der Galaxie passiert. Aber meine Fähigkeiten sind nicht verloren gegangen und ich bin zu einer einfachen Schlussfolgerung gekommen. Jeder, der das Imperium verraten hat, muss sterben. Ich komme jetzt zurück zu meiner alten Stärke, Commander, und es ist gut, wieder zu Hause zu sein.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_DROMMEL,[ Drommels Gruppe freigeschaltet ] – Gaen Drommel: Es scheint, als wären Sie und ich nicht so unterschiedlich, wie ich mir vorgestellt hatte. Ihre Hartnäckigkeit inspiriert Ehrfurcht bei schwächeren Männern und Ihre Macht kennt kein Gleiches. Ich habe unter Großmoff Tarkin gedient, Sie brauchen mich und das Fachwissen, das ich von ihm gelernt habe. Ich vermache Ihnen die Nutzung meiner Executor-Klasse, Guardian. Im Gegenzug wird unser neues Imperium immer weiter wachsen, bis die ganze Galaxie in unseren Händen ist!
TEXT_GOVERNMENT_LEGITIMACY_GROUP_ELROOD,[ Elrood Gruppe freigeschaltet ] - Villis Andal: Meine beiden besten Kapitäne sind nach dem Fiasko bei Endor zu mir zurückgekehrt und obwohl sie einander hassen, haben sie begonnen, meine Spiele zu unterbrechen, um ihren Unmut über die Situation auszudrücken. Sie sind damals nicht mit Harrsk oder Pellaeon ausgezogen, haben mich jedoch überzeugt, meine Kräfte Ihnen zu verschreiben, angesichts Ihrer Handlungen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_GAROS,[Garos Sektor Gruppe freigeschaltet] - Generalmajor Carner: Eure Kräfte machen Fortschritte, während andere sich sinnlos abschlachten, ohne auf den wahren Feind in der Galaxie zu achten. Sie haben meinen Sohn getötet. Diese verräterische Tochter dieses nutzlosen Gouverneurs hat mein einziges Kind getötet! Abschaum der Neuen Republik! Ähem. Mit dem Erfolg, den ihr gezeigt habt, bin ich zuversichtlich, dass ihr wisst, wen wir letztendlich besiegen müssen, um Ordnung und Frieden in der Galaxie wiederherzustellen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_GOROTH,[ Goroth-Gruppe freigeschaltet ] - Val DeGoort: Ah, endlich jemand Vernünftiges, mit dem man über eine Allianz sprechen kann. Nach dem Vorfall während des koordinierten Aktionsübungsansatzes schienen alle meine Kontakte anderweitig beschäftigt zu sein. Ich bin sicher, dass ein Anführer Ihres Kalibers solche Vorkommnisse verstehen kann, die sogar den Besten passieren können.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_GRONN,[ Gronns Gruppe freigeschaltet ] - Gronn: Also sind Sie der angebliche Wiederhersteller des Imperiums, von dem ich gehört habe. Ich werde mich kurz fassen. Ich habe einen Mandator III unter meiner Kontrolle, und Sie wollen offensichtlich eine solche Waffe. Ich werde Sie auf diesem prächtigen Schiff fahren lassen, wenn Sie meinen Mangel an Jäger- und Schiffproduktion ausgleichen können. Zugang zu einem Super-Sternenzerstörer im Austausch gegen Ressourcen. Ein einfaches Geschäft, von dem wir beide profitieren.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_GRUNGER,[ Grungers Gruppe freigeschaltet ]- Großadmiral Grunger: Es scheint, dass Ihr Anspruch auf das Imperium genügend Unterstützung hat, um meine Loyalität zu rechtfertigen ... vorerst. Stellen Sie Ihre Truppen unter mein Kommando, bleiben Sie mir aus dem Weg, und ich werde Ihnen den Thron übergeben.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_LAMBDA,[ Lambda-Sektor-Gruppe freigeschaltet ] - Per Lankin: Einer meiner Idioten-Kommandanten hat die Neue Republik mit zu vielen Raids auf ihren Planeten provoziert ... Trotz meiner Fähigkeiten habe ich wenig Wahl, als den Schutz eines stärkeren Kriegsherren zu suchen: Schützen Sie uns vor der Neuen Republik, und Sie werden die Unterstützung meiner Kräfte in Ihrem Bestreben haben, das Imperium wiederherzustellen.TEXT_GOVERNMENT_LEGITIMACY_GROUP_LUMIYA,[ Lumiya's Group Unlocked ] - Lumiya: Behold the Dark Lady of the Sith and true heir of the Lord Palpatine. I wish for nothing more than the destruction of the accursed New Republic and you are the strongest of these pathetic warlords. Aid me in my revenge and I will instruct you in the true way to restore peace and order to this shattered galaxy.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_LUMIYA,[ Lumiya's Gruppe freigeschaltet ] - Lumiya: Seht die Dunkle Lady der Sith und wahre Erbin von Lord Palpatine. Ich wünsche mir nichts mehr als die Zerstörung der verfluchten Neuen Republik und ihr seid die stärksten dieser armseligen Kriegsherren. Helft mir bei meiner Rache und ich werde euch den wahren Weg lehren, um Frieden und Ordnung in dieser zerrütteten Galaxie wiederherzustellen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_MINOS,[ Minos Cluster Group Unlocked ] - Babel Torsch: Ah, ausgezeichnet! Sie haben sich hinreichend den Regeln und Vorschriften gewidmet, die ich sehr liebe. Es würde mir ein Vergnügen sein, Ihnen bei der Durchsetzung Ihrer Herrschaft in dieser Galaxie zu helfen. Die Räder Ihrer militärischen Macht werden von der einzigen Konstante im Universum angetrieben, der gut geölten Bürokratie!
TEXT_GOVERNMENT_LEGITIMACY_GROUP_NABOO,[ Naboo Group Unlocked ] - Panaka: Das Imperium hat die Galaxie vor sich selbst gerettet, indem es Frieden und Ordnung auf seinen Welten gewährleistet hat. Der Tod des großen Imperators hat die Galaxie wieder ins Chaos gestürzt, und diese illegitime Neue Republik bedroht nun mein Zuhause. Wenn Sie mir helfen können, mich gegen diese Bedrohung zu verteidigen, haben Sie meine Loyalität auf Ihrer Suche, die Galaxie von diesem Konflikt zu heilen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_NISHR,[ Nishr Group Unlocked ] - Vin Kollis: Ich konnte nie die Verstärkungen erhalten, die ich während der Unterdrückungen angefordert habe. Ich bin kein Fremder im asymmetrischen Krieg, der Eskalation oder den Realitäten des Kommandos. Stellen Sie mir die Kräfte zur Verfügung, die ich benötige, und ich werde mich bemühen, Ihre Ziele zu erfüllen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_NIVERS,[ Nivers' Group Unlocked ] - Nivers: Ich bin ein Großmoff, und wenn Sie wirklich das Imperium in seiner Glorie wiederherstellen wollen, werden Sie diesen vom Imperator verliehenen Titel respektieren. Es gibt Welten unter meiner Aufsicht, die die imperialen Autoritäten nicht respektieren, und ich brauche einige zusätzliche Ressourcen, um sie an den Preis des Widerstands zu erinnern. Wenn Sie sich über diesen Stärketest beweisen und somit demonstrieren, dass Sie der wahre Nachfolger des Imperators sind, werde ich Ihnen loyal dienen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_PRAKITH,[ Deep Core-Gruppe freigeschaltet ] - Malfkla Yzu: Wahrlich, du hast eine Meisterschaft der Kriegskunst gezeigt. Maryx Minors Order muss erfreut über die Früchte deiner Arbeit sein. Ich hätte nicht gedacht, dass jemand meinen Respekt so sehr verdienen würde, aber ich sehe, dass dein Weg die Zukunft ist. Vielleicht ist der Imperator, auf eine gewisse Weise, wiedergeboren worden. Die 15. Deep Core Reserve steht zu deinen Diensten.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_PRENTIOCH,[ Gruppe von Prentiochs Dominion freigeschaltet ] - Salutationen, Kommandant! Ich wette, Sie sind ein brillanter Schüler großer Kriegsherren und Generäle, genau wie ich und im Gegensatz zu diesem elenden Narren Eygren. Möchten Sie einige Graehpes? Ach, egal, ich schlage eine Allianz vor. Meine Streitkräfte werden unter Ihrem Befehl stehen und ich bitte nur darum, dass ich meine Laster ausleben darf. Ich liebe besonders sabaac mit hohen Einsätzen, vielleicht können wir in Zukunft spielen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_PULSAR,[ Pulsar Group Unlocked ] - Niclara Varnillian: Es ist Zeit, dass unser Raubzug durch den Outer Rim ein Ende findet, und wir uns wieder dem eigentlichen Imperium anschließen. Ich habe zerstreute und demoralisierte imperialistische Schiffe in ein Kratzkommando verwandelt. Nach einer kurzen Überholung werden wir wieder bereit sein, Tod unter den Feinden des Imperiums als Teil der Flotte zu verbreiten.TEXT_GOVERNMENT_LEGITIMACY_GROUP_RADAMA,[ Ord Radama Group Unlocked ] - Ellor Orgraal: Your excellency, it is clear at this juncture that yours is the true Imperium, and I can only apologise for not coming to your service sooner. Already I spread word of the glorious work you do amongst my - sorry, your subjects. I humbly provide myself and my forces to whatever use you desire of them.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RADAMA,[Ord Radama-Gruppe freigeschaltet] - Ellor Orgraal: Eure Exzellenz, es ist offensichtlich, dass Euer Imperium das wahre ist, und ich kann nur um Verzeihung bitten, dass ich nicht früher zu Eurem Dienst gekommen bin. Schon jetzt verbreite ich die Worte über die glorreiche Arbeit, die Ihr unter meinen - Verzeihung, Euren Untertanen tut. Ich stelle mich und meine Kräfte dem zur Verfügung, wofür Ihr sie auch immer benötigt.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RAVEEN,TRANSLATE:[ Raveen's Group Unlocked ] TODO
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RAYTER,[ Rayter Sektor Gruppe entsperrt ] - Nile Owen: Die Annalen der galaktischen Geschichte verurteilen oft ungerechtfertigt jene, die von der Masse mit Neid betrachtet werden. Diejenigen von uns auf dem Weg zur Macht müssen vorsichtig sein, um nicht zu stolpern, und ein geschickter Partner kann hierbei hilfreich sein. Aber ich hoffe für unser aller Wohl, dass Ihr Ruf verdient ist: es wäre bedauerlich, wenn Sie mich enttäuschen würden.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_REBORN,[ Wiedergeborene Imperium Gruppe entsperrt ] – Hethrir: Waru hat mir von Ihnen gesprochen. Sie sind dazu bestimmt, ein wiedergeborenes Imperium zu schaffen, mit unserer... Hilfe. Alles, was ich brauche, sind machtsensitive Opfer. Zusammen werden wir eine formidable Allianz schmieden, solange unsere Ziele übereinstimmen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RESTORED,[ Wiederhergestellte Imperium Gruppe entsperrt ] – Ennix Devian: Ich bin beeindruckt von Ihrer Fähigkeit, unsere Ideale der hohen menschlichen Kultur zu vertreten. Ich glaube, Sie werden derjenige sein, der das Galaktische Imperium wirklich wiederherstellt und unsere Vorherrschaft aufrechterhält. Meine Kräfte und Fähigkeiten stehen zu Ihrer Verfügung.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RESTUSS,[ Restuss Gruppe entsperrt ] - Grot: Kommandant, Sie schienen von meinem Erscheinen überrascht zu sein? Ich bin Grot. Nicht einmal der Tod selbst hat es geschafft, mich zu besiegen, trotz der besten Bemühungen von Rebellenkommandos. Bitte ignorieren Sie jegliche Kommentare darüber, ob ich meine Position verdient habe; ich denke, mein Rekord spricht in diesem Moment lauter.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_RHAMALAI,[ Rhamalai Gruppe entsperrt ] - Naem Yrros: Ich habe die höchste Auszeichnung in meiner Klasse an der Raithal Akademie erhalten und hätte nie geglaubt, dass das Imperium so enden würde. Ihre jüngste Leistung in dessen Namen hat mich im Gegensatz zu den anderen Anwärtern beeindruckt. Ich freue mich, Ihnen meine Dienste anzubieten.TEXT_GOVERNMENT_LEGITIMACY_GROUP_SELLASAS,[ Sellasas Group Unlocked ] - Jedselk: Ah, Commander, welcome to my palace. Would you care for some brandy? My daughter has kept track of your accomplishments and I suspect you are responsible enough to restore glory to the Imperium. We place ourselves and our assets under your command. A toast, to our partnership, the destruction of the Rebellion, and to the Imperium!
TEXT_GOVERNMENT_LEGITIMACY_GROUP_SELLASAS,[ Sellasas-Gruppe freigeschaltet ] - Jedselk: Ah, Kommandant, willkommen in meinem Palast. Möchten Sie etwas Brandy? Meine Tochter hat Ihre Leistungen verfolgt und ich vermute, dass Sie verantwortungsbewusst genug sind, um dem Imperium wieder zu altem Glanz zu verhelfen. Wir stellen uns und unsere Ressourcen unter Ihr Kommando. Auf unsere Partnerschaft, die Zerstörung der Rebellion und das Imperium!
TEXT_GOVERNMENT_LEGITIMACY_GROUP_SHADOWSPAWN,[Schattenbrut-Gruppe freigeschaltet] - Lord Shadowspawn: Siehe, es bin ich! Der große Lord Shadowspawn! Der Wille der Dunkelheit hat gesprochen und er hat mich angewiesen, dir einen Thron aus den Schädeln der Schwachen zu bauen. Wenn das letzte Scheiterhaufen unserer toten Feinde in der Galaxie erloschen ist, wird die wahre liebevolle Umarmung der Dunkelheit bekannt sein.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_SILLUME,[Sil'Lume-Gruppe freigeschaltet] - Sebastian Parnell: Für unzählige empfindungsfähige Wesen war der Tag, an dem Parnell ihr Leben segnete, das denkwürdigste Ereignis, das ihnen je widerfahren war. Für mich war es Taungsday. Ich habe im Namen des Imperiums Ozeane von Blut vergossen, um den Frieden des Kaisers aufrechtzuerhalten, und ich bin bereit, noch viele weitere zu vergießen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_STARLYTE,[Starlyte-Gruppe freigeschaltet] - Arissa Fawn: Alles, um aus dieser Sackgasse herauszukommen, in der ich feststeckte. Du hast einen guten Job gemacht, indem du zusammengekratzt hast, was vom Imperium übrig geblieben ist. Schau nicht zu genau auf meine Operationen und ich werde dich sogar an einem Anteil beteiligen lassen. Pass nur auf diesen Psycho Marr auf, während du dabei bist.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_STORM_COMMANDOS,[Storm Commando-Gruppe freigeschaltet] - Victor Strang: Der Kaiser befahl uns, diese rebellischen Abschaum zu zerschlagen, und auch mit seinem Tod ist unsere Mission nicht vorbei. Wir haben ständig gegen Elite-Formationen der Republik gekämpft und brauchen eine starke Basis, um unsere Schiffe neu zu versorgen. Weir: Meine Sturmkommandos brauchen auch eine Basis für unsere Operationen gegen diese Rebellion. Es gibt so viele Welten, die daran erinnert werden müssen, was mit denen passiert, die das wahre Imperium verraten.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_STORMTROOPERS,[Stormtrooper-Gruppe freigeschaltet] Mak Tennar: Der Tod des Kaisers hat den einst glorreichen Corps in ein erbärmliches Durcheinander zerbrochen, und das zeigt sich in der schlechten Qualität der neuen Truppen, auf die sich all diese Kriegsherren verlassen. Wir sind erfahrene Soldaten, die viel dazu beitragen können, deine Armee zu verbessern, damit sie keine blasse Nachahmung der Stärke ist, die einst vom Imperium ausgeübt wurde.TEXT_GOVERNMENT_LEGITIMACY_GROUP_TAGGE,[ Tagge House Group Unlocked ] – Ulric Tagge: The House of Tagge has always been steadfastly loyal to the Imperium. In these troubling times, it can be hard to remember one’s friends. As a show of my continued loyalty to the true Imperium, the resources of the House of Tagge are at your disposal.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TAGGE,[Tagge House Group freigeschaltet] - Ulric Tagge: Das Haus Tagge war dem Imperium immer treu ergeben. In diesen schwierigen Zeiten kann es schwer sein, seine Freunde im Auge zu behalten. Als Zeichen meiner fortwährenden Loyalität zum wahren Imperium stehen Ihnen die Ressourcen des Hauses Tagge zur Verfügung.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TAPANI,[Tapani-Sektor-Gruppe freigeschaltet] - Tessala Corvae: Mit dem Tod des Kaisers und dem Chaos, das das Imperium heimgesucht hat, sind viele Pretender aufgestiegen und haben um kleine Krümel gekämpft. Sie haben sich jedoch als fähig erwiesen, das Erbe des Imperiums aufrechtzuerhalten. Ich vertraue darauf, dass Sie die Unterstützung unserer Truppen nicht unterschätzen werden.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TATOOINE,[Tatooine-Gruppe freigeschaltet] - Kosh: Dieses ganze Durcheinander hat damit begonnen, dass Vader nicht deutlich machen konnte, wonach er suchte und es zu einem Missverständnis mit einem Paar Droiden kam. Praji, Terrik, zu viele Kommandeure, die in einer Stadt herumstreiten, haben nur unsere Kräfte behindert, aber ich schweife ab. Ich werde mich Ihrer Sache anschließen, es ist wahrscheinlich besser als das, was die Hutts mit mir anstellen werden.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TIERFON,[Tierfon-Sektor-Gruppe freigeschaltet] - Tzenkens: Die Rebellen-Sektor-Gruppen fürchteten meine Präsenz in der gesamten Galaxie, während meine Truppen ihre Versuche des Widerstands überwältigten und zerstörten. Jetzt liegen wir zerbrochen, unvollständig und streiten uns, nicht schlechter als sie. Nur durch ein erneutes Zusammenführen können wir in der Galaxie wieder Fortschritte machen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TRANSNEBULAR,[Trans-Nebular-Sektor-Gruppe freigeschaltet] - VeNiste: Ich kann nur hoffen, dass Sie kompetenter sind als dieser Trottel DeGoort. Halten Sie den Streit zwischen Ihrer Marine und Armee minimal und schätzen Sie Ihre Bodentruppen, dann werden Sie mit meiner Unterstützung weiterhin erfolgreich sein.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_TRAX,[Trax-Sektor-Gruppe freigeschaltet] - Admiral Heggel: Lassen Sie uns die Höflichkeiten beiseitelegen, Commander. Ihre Kräfte haben mehr Fortschritte gemacht als die meisten beim Niederwerfen des verräterischen Abschaums, der die Galaxie befallen hat. Ich kann eine moderate Verstärkung Ihrer Kräfte und die Ehre meiner Unterstützung bieten, solange Sie weitere Schritte unternehmen, um diejenigen zu zerschlagen, die uns widersetzen.TEXT_GOVERNMENT_LEGITIMACY_GROUP_VOGEL,[ Vogel 7 Group Unlocked ] - Trommer: Palpatine through his original Moffs pulled the Old Republic out of the sewer and transformed it into the jewel we know as the Imperium. With his death, the Galaxy is once again succumbing to those depths and only you are strong enough to revert that slide into degeneracy.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_VOGEL,[Vogel 7 Gruppe freigeschaltet] - Trommer: Palpatine und seine ursprünglichen Moffs haben die Alte Republik aus dem Abgrund gezogen und in das Juwel verwandelt, das wir als Imperium kennen. Mit seinem Tod fällt die Galaxie wieder in diese Tiefen zurück, und nur du bist stark genug, um diesen Verfall umzukehren.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_WESSEX,[ Wessex Familien-Gruppe freigeschaltet ] - Lira Wessex: Während mein idiotischer Vater ein Verräter des glorreichen Imperiums ist, ist meine Familie immer noch loyal. Du weißt, was ich erreicht habe, und ich habe noch so viel mehr zu erreichen. Du wirst die Loyalität meines Mannes und mir haben, unter einer Bedingung: Ich möchte meinen Vater lebend vor mir sehen.
TEXT_GOVERNMENT_LEGITIMACY_GROUP_ZANN,[ Zann Consortium-Gruppe freigeschaltet ] - Tyber Zann: Einige unserer jüngsten Aktivitäten haben uns viel Hitze von gemeinsamen Feinden eingebracht. Du möchtest Verbündete und Zusammenarbeit wäre im Interesse beider Organisationen. Um das Angebot zu versüßen, könnten wir einige interessante Daten teilen, die wir als legitime Bergung gefunden haben. Wenn du natürlich einige Verwaltungsgebühren übernimmst.
TEXT_GOVERNMENT_LEIA_EFFECT,Wirkung: Alle Planeten erhalten eine Einflussstufe
TEXT_GOVERNMENT_MOTHMA_EFFECT,Wirkung: Zusätzliche Schiffsmannschaften (+10 %), maximale Einflussstufe von Chandrila.
TEXT_GOVERNMENT_NAVIK_EFFECT,Wirkung: Defensive Boden- und Raumstrukturen 20 % günstiger, maximale Einflussstufe von Rodia.
TEXT_GOVERNMENT_NEW_REPUBLIC,Informationen zur Regierung der Neuen Republik:
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_ABAHT,- Etahn A'baht [ Erfordert Neue Klassen Phase II Forschung. Kann in Ära 7 gegen Han Solo ausgetauscht werden ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_ACKBAR,- Gial Ackbar [ Gesperrt, wenn Borsk Fey'lya Chief of State ist ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_ACKDOOL,- Ackdool [ Erfordert Vermittler-Forschung ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_BELL,- Areta Bell [ Erscheint mit Neue Klassen Phase II Forschung ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_BRAND,- Turk Brand [ Erfordert Neue Klassen Phase II Forschung, Yald erfordert Ära 7 ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_BURKE,- Willham Burke
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_DORAT,- Chel Dorat [ Kann bei Voon Massa aktiviert werden oder durch Massas Tod, entsperrt in Ära 3+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_DRAYSON,- Hiram Drayson [ Erfordert Mon Mothma als Chief of State ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_GARM,- Garm Bel Iblis [ Entsperrt in Ära 3+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_GRANT,- Octavian Grant [ Entsperrt in Ära 4+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_HAN,- Han Solo [ Erfordert Millennium Falcon, gesperrt in Ära 4+ durch Neue Klassen Phase II ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_HAN2,Kann in Ära 7 wieder aktiviert werden, wenn sich Etahn Abaht und die Falcon am selben Ort befinden ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_KALBACK,- Kalback [ Gesperrt nach Thrawns Tod, gesperrt in Ära 3+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_KREFEY,- Traest Kre'fey [ Erfordert Borsk Fey'lya als Chief of State und BAC-Forschung, entriegelt in Ära 7 ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_LANDO,- Lando Calrissian [ Erfordert Lady Luck ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_LIST,Befehlsoptionsliste:
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_MASSA,- Voon Massa [ Kann bei Chel Dorat aktiviert werden oder durch Dorats Tod, gesperrt in Ära 3+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_NAMMO,- Nammo [ Entsperren bei Ackbars Tod ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_NANTZ,- Firmus Nantz
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_RAGAB,- Ragab [ Gesperrt in Ära 5+ ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_SNUNB,- Syub Snunb [ Erfordert Sian Tevv als Chief of State ]
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_SOVV,- Sien Sovv
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_TALLON,- Adar Tallon
TEXT_GOVERNMENT_NEW_REPUBLIC_ADMIRAL_VANTAI,- Kir Vantai [Benötigt Jenssar SoBilles als Oberhaupt des Staates]
TEXT_GOVERNMENT_NEW_REPUBLIC_CANDIDATES,Kandidaten für das Oberhaupt des Staates:
TEXT_GOVERNMENT_NEW_REPUBLIC_COMMAND_STAFF_FTGU,TRANSLATE:Limited Hero Access: Disabled Command Staff
TEXT_GOVERNMENT_NEW_REPUBLIC_COUNCIL_CILGHAL,- Cilghal
TEXT_GOVERNMENT_NEW_REPUBLIC_COUNCIL_CORRAN,- Corran Horn
TEXT_GOVERNMENT_NEW_REPUBLIC_COUNCIL_KYLE,- Kyle Katarn
TEXT_GOVERNMENT_NEW_REPUBLIC_COUNCIL_LIST,Jedi-Optionen:
TEXT_GOVERNMENT_NEW_REPUBLIC_COUNCIL_MARA,- Mara Jade
TEXT_GOVERNMENT_NEW_REPUBLIC_HERO_SYSTEM,TRANSLATE:The New Republic has a flexible pool of senior officers that may be appointed and dismissed at any time using build options at their location. Dismissing a hero will free a slot to appoint an available replacement. Losing a hero in battle will incur administrative costs before a replacement can be appointed. 
TEXT_GOVERNMENT_NEW_REPUBLIC_HERO_SYSTEM_0,TRANSLATE:Active Command Staff at once (depending on GC):
TEXT_GOVERNMENT_NEW_REPUBLIC_HERO_SYSTEM_1,TRANSLATE:- Fleet Officers: 4 (plus an additional slot when New Class Modernization Phase II is researched)
TEXT_GOVERNMENT_NEW_REPUBLIC_HERO_SYSTEM_2,TRANSLATE:- Jedi: 2
TEXT_GOVERNMENT_NEW_REPUBLIC_HERO_SYSTEM_HEADER,TRANSLATE:Command Staff:
TEXT_GOVERNMENT_NEW_REPUBLIC_OVERVIEW,Die Neue Republik wählt alle 10 Monate ein neues Oberhaupt des Staates. Jeder Kandidat hat seine eigenen Boni oder Nachteile. Sie können wählen, wen Sie aus dem Story-Actions-Tab unterstützen möchten. Die Kandidaten für das Oberhaupt des Staates ändern sich je nach Zeitraum, kontrollierten Planeten und anderen Faktoren.
TEXT_GOVERNMENT_NEW_REPUBLIC_OVERVIEW_HEADER,Wahlen zum Oberhaupt des Staates:
TEXT_GOVERNMENT_NEWREP_ELECTION_LOST,Wahl verloren.
TEXT_GOVERNMENT_NEWREP_ELECTION_WON,Wahl gewonnen
TEXT_GOVERNMENT_REQUIREMENTS_KUAT,Anforderungen: Nur auf Kuat verfügbar, Ära 7
TEXT_GOVERNMENT_SHESH_EFFECT,Auswirkungen: KDY-Einheiten 15%% günstiger, schnellere Bauzeit (5%% stapelt sich mit anderen Boni), begrenzter Einsatz von A9-Jägern (MC30A, BAC, Majestic, Defender Carrier, Sacheen, Hajen, Nebula, Mediator und Viscount), maximiert den Einfluss von Kuat und gewährt Zugang zur Forschung des Mon Mothma-Sternenzerstörers.
TEXT_GOVERNMENT_SOBILLES_EFFECT,Auswirkung: Alle Einheiten werden 15%% schneller erstellt, der Einfluss von Duro ist maximiert.
TEXT_GOVERNMENT_SUPPORTED_COS,UNTERSTÜTZTER KANDIDAT: %s (Aktualisierungen bei Änderung des Monats)
